artifact,claim_text_or_topic,evidence_type,allowed_claim_level,claim_status,action_taken,notes
reports/tables/final_table_registry.csv,institutional execution quality,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/final_table_registry.csv,empirical execution cost from generated data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/final_table_registry.csv,empirical market impact from generated data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/final_table_registry.csv,exact queue position without L3 data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/final_table_registry.csv,exact fills without L3 data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/claim_enforcement_summary.csv,live trading readiness,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/claim_enforcement_summary.csv,profitability,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/claim_enforcement_summary.csv,best-execution compliance,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/claim_enforcement_summary.csv,broker-grade TCA,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/claim_enforcement_summary.csv,institutional execution quality,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/claim_enforcement_summary.csv,empirical execution cost from generated data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/claim_enforcement_summary.csv,empirical market impact from generated data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/claim_enforcement_summary.csv,exact queue position without L3 data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/claim_enforcement_summary.csv,exact fills without L3 data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage2_claim_enforcement_summary.csv,live trading readiness,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage2_claim_enforcement_summary.csv,profitability,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage2_claim_enforcement_summary.csv,best-execution compliance,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage2_claim_enforcement_summary.csv,broker-grade TCA,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage2_claim_enforcement_summary.csv,institutional execution quality,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage2_claim_enforcement_summary.csv,empirical execution cost from generated data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage2_claim_enforcement_summary.csv,empirical market impact from generated data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage2_claim_enforcement_summary.csv,exact queue position without L3 data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage2_claim_enforcement_summary.csv,exact fills without L3 data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage3_claim_enforcement_summary.csv,live trading readiness,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage3_claim_enforcement_summary.csv,profitability,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage3_claim_enforcement_summary.csv,best-execution compliance,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage3_claim_enforcement_summary.csv,broker-grade TCA,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage3_claim_enforcement_summary.csv,institutional execution quality,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage3_claim_enforcement_summary.csv,empirical execution cost from generated data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage3_claim_enforcement_summary.csv,empirical market impact from generated data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage3_claim_enforcement_summary.csv,exact queue position without L3 data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
reports/tables/stage3_claim_enforcement_summary.csv,exact fills without L3 data,claim boundary audit,not_supported,pass,accepted,No prohibited affirmative claim detected.
