path,artifact_type,stage,size_bytes,hash,included_in_release,notes
reports\figures\execution_sensitivity_heatmap.png,.png,current,8942,61065dab595f407da39ddbf442b8d79323196bb8c637ecd07a6920b993204ce4,True,Current project artefact.
reports\figures\final_claim_enforcement_summary.png,.png,current,6962,ded915ac85e6d9c7c06253c2690a5209ede09df52f11c3b7ba914606ddf861c0,True,Current project artefact.
reports\figures\final_evidence_boundary_map.png,.png,current,6546,0b24ec6cfa64737ccfece394f91c92e77b0a20224f7e2f22c072a88df32aa017,True,Current project artefact.
reports\figures\final_stage_quality_summary.png,.png,current,6348,66165b0bd7834ccb44136f2284ae03d80c79db113b918dac5db1cec0145fbf98,True,Current project artefact.
reports\figures\final_system_architecture.png,.png,current,6596,52118db78f8c06bbae3c61a936d2c06f194658f7de668b82bb7f2db5ca21d422,True,Current project artefact.
reports\figures\implementation_shortfall_components.png,.png,current,9721,9e451f2bb04ed8083b0f6c6f36877e9db42f3c53b278e8a81385637fd4501783,True,Current project artefact.
reports\figures\limit_fill_approximation_status.png,.png,current,7922,2e217ad090610a54bf343afa4dfe7fd6ff53c34d625f6e902066ebadf5f070fd,True,Current project artefact.
reports\figures\liquidity_regime_counts.png,.png,current,6829,6e06b743535bf55c59a5939ac6e5afb23cc919e4c4ee88c19864e3c726b33f93,True,Current project artefact.
reports\figures\market_order_sweep_example.png,.png,current,9109,3fd5bc103987113e5e7a927d194e1e7336d3d20189138683c754e934cf8d4117,True,Current project artefact.
reports\figures\microprice_vs_midprice.png,.png,current,11053,6ffbf55176743abe71e729930cb0b8bd04df7886810e4b552c9543ac8458d9f2,True,Current project artefact.
reports\figures\order_book_spread_through_time.png,.png,current,10390,684b35fb2e8d247c537a45b2afe82a76bb28fe1af38c99ecf8066a1cf97f5869,True,Current project artefact.
reports\figures\short_horizon_label_distribution.png,.png,current,7067,c56b40f5e9b5e376181a1bc490c6c3693f80aff0bee98a28c905258e2edff670,True,Current project artefact.
reports\figures\slippage_by_benchmark.png,.png,current,8519,a4a985a762e08fe0244456d979a98fd370cc8b9db51a43167c6d8c3a90180ae1,True,Current project artefact.
reports\figures\sweep_levels_consumed.png,.png,current,7557,e7069b8674e249fe224027d71b51ce695d93338a891567f386889628b94b2b90,True,Current project artefact.
reports\figures\tiny_lob_depth_example.png,.png,current,11266,b849aa0bd1bec73209562d268e7c6ee43d9538f3e9d5c8568d8a92d0f25242e5,True,Current project artefact.
reports\figures\tiny_lob_spread_example.png,.png,current,11809,0256905880056b844d03c053a525b31c28fd9bd48b5befc05c4e24929af00cc7,True,Current project artefact.
reports\market_microstructure_execution_cost_report.html,.html,current,15298,74331ea34b30be85d16d82812a30c062aa01323874c46dd4a6a3e4cb9cb96b7a,True,Current project artefact.
reports\market_microstructure_execution_cost_report.md,.md,current,14982,647db85cba5fbb75627958c2af66b978a57b87685c083c36f6eb1f007f9f1822,True,Current project artefact.
reports\tables\baseline_model_performance.csv,.csv,current,462,b73cbea851cb3e05606f52967d8eaa8fc9aebc2e160410b95265b33bc1dba24b,True,Current project artefact.
reports\tables\claim_enforcement_summary.csv,.csv,current,1487,85a98c5d5799cdd1f036684838522a1f3e4f9ee2cbef00bc43ae6ffa28391b03,True,Current project artefact.
reports\tables\cost_attribution_summary.csv,.csv,current,1224,af9d5568c3eb939041f8de9b714c2ba22f797ff28619258c96ae70a38d2739e0,True,Current project artefact.
reports\tables\data_capability_matrix.csv,.csv,current,2182,52f687914cfe910a319dcf148d9ec985affa3854f8484f9f037c30f964a6a7ef,True,Current project artefact.
reports\tables\data_source_audit.csv,.csv,current,1756,22957bde2c260e387c38b6423801e8cf9539f09f6a9bd08d6fb45e951c6a714a,True,Current project artefact.
reports\tables\event_intensity_summary.csv,.csv,current,185,465c85c1252354b374470122d29e310dde6395ad3d36fc98c8eb04448155aaf3,True,Current project artefact.
reports\tables\execution_sensitivity_summary.csv,.csv,current,1465,9088574692aa4671278698615891ae37def0df175426d380d6839ba90c910b8e,True,Current project artefact.
reports\tables\feed_integrity_summary.csv,.csv,current,701,0a850393f34e1406c3989f04213061be0123c3325e28eef86d4ddd9848ef6b06,True,Current project artefact.
reports\tables\final_claim_boundary_audit.csv,.csv,current,11827,80795c78fcd13b0787414bdfcfbfcbda00d8d9781d85c8dbc373920b3d15ae0e,True,Current project artefact.
reports\tables\final_figure_registry.csv,.csv,current,7030,63fef40cc7ff86954518a41bfa1cd14e257e065d3e936460d318e11959804b25,True,Current project artefact.
reports\tables\final_quality_gate.csv,.csv,current,3310,236b2f06b6ef0219e88a37a587dedf341dd070f6e7ffbc1693c5f39995ed3d1f,True,Current project artefact.
reports\tables\final_release_exclusions.csv,.csv,current,740,06d2329f28fb2d6930344a16731c01d6e03946d30b1c109ea42fd65b0a7f8bef,True,Current project artefact.
reports\tables\final_release_manifest.csv,.csv,current,25800,1811212ec3a81a35820a035925e8f0ab641c47e603324d90e7254eca51aca16c,True,Current project artefact.
reports\tables\final_table_registry.csv,.csv,current,12202,45e6b5df45da9da36d92e9bcf8ec4400e3a2ae67f02a30dc37759039b9fb10ef,True,Current project artefact.
reports\tables\imbalance_summary.csv,.csv,current,102,f03c06ebd20a6354bd379eefc445084677b2b9402dc617955f070db41d70708d,True,Current project artefact.
reports\tables\impact_proxy_summary.csv,.csv,current,1563,73434a6485fdc349413818b8f3ead1df63edec88e8670bbceeff28867c6ad96b,True,Current project artefact.
reports\tables\implementation_shortfall_summary.csv,.csv,current,1826,6de1e73e224cb90ea04a225b2efa5ab06b1170ca79862cf6975a3323373e321b,True,Current project artefact.
reports\tables\intraday_profile_summary.csv,.csv,current,238,c409705eee15bc0f9fb0b5b953509c9cb76f8dac387e3068124a83f9064db643,True,Current project artefact.
reports\tables\known_limitations_register.csv,.csv,current,1385,725e5907d5b7cd6f310bae40929abc1a9bdec0165c5a206a32240b68011d22c7,True,Current project artefact.
reports\tables\label_distribution_summary.csv,.csv,current,1004,5ce5d3b622f17248f0014878b37d47539149b7553829ef33e872c67390c11811,True,Current project artefact.
reports\tables\limit_order_fill_approximation_summary.csv,.csv,current,375,24c85bb1311c568f890db5a498f3dbdb5eff60abd22f2055182377977e037f8a,True,Current project artefact.
reports\tables\liquidity_regime_summary.csv,.csv,current,89,845b397d050411690517443e3a4e3234d21276350f32d5f909750e58c28e03c8,True,Current project artefact.
reports\tables\microprice_summary.csv,.csv,current,65,68b79f2ec9e2f1c5bf3a88dbb2475a9f9c7f9bb204d99f737e05971b3f013e83,True,Current project artefact.
reports\tables\order_book_feature_summary.csv,.csv,current,525,57b5ccd94a3313de7ed02caaeb2ccb1e4bca73520db5f7f4146355f38fc5e264,True,Current project artefact.
reports\tables\output_inventory.csv,.csv,current,25800,bb555d43514e317939360d52fef7bb0bfbdf08d5cd6378cdd16257054e6df821,True,Current project artefact.
reports\tables\publication_readiness_scorecard.csv,.csv,current,2710,eb6e9c74f8f97e7011f3c90b10611d54e9c456430cfbf72921ac79abd1f7a261,True,Current project artefact.
reports\tables\reproducibility_manifest.csv,.csv,current,2107,efec3317377bc86eef23f1447ca20e47522acba00506a129fac1a5b5a558b4fa,True,Current project artefact.
reports\tables\schedule_execution_summary.csv,.csv,current,876,ace7f6bfedfda9be33f9f8d2507aae0df02e67793cff97318c616e2aefdbce13,True,Current project artefact.
reports\tables\schema_validation_summary.csv,.csv,current,313,be3ab23c9972bb1226439117cd65a36cf6d7bab6447680bdb248fc89f2c51976,True,Current project artefact.
reports\tables\slippage_benchmark_summary.csv,.csv,current,7680,50798a398a36a69a7c5feb5c4a77490db78033c3460a7608bae49d6d2c9310c1,True,Current project artefact.
reports\tables\stage1_quality_gate.csv,.csv,current,774,b30806f0c4fde4b2424cf99a411d94f8ebbc84f6236686a3dd3e3ba228184637,True,Current project artefact.
reports\tables\stage2_claim_enforcement_summary.csv,.csv,current,1487,1a16ab77028b67224fd650d0d279a4da8373277119c792d93cf8ada127c1c66a,True,Current project artefact.
reports\tables\stage2_quality_gate.csv,.csv,current,656,fc543d806c48b03ac43a518e88a5fe6238cf03e36cac936b73efc5c2a0146779,True,Current project artefact.
reports\tables\stage2_schema_validation_summary.csv,.csv,current,227,d2b1fd5e31886a8b0cc0ff0ef234e1286d444fa8e6c425f3d4a24b1ba5d9235f,True,Current project artefact.
reports\tables\stage3_claim_enforcement_summary.csv,.csv,current,1487,989a1f260160f288064b670d952f57f5550384b7f305df255e2f90943fb18e07,True,Current project artefact.
reports\tables\stage3_cost_attribution_summary.csv,.csv,current,2171,0b1b1f17359d8f1b6003a21b72dc7ce949fc9cc091429ef55578f213bfb5ece5,True,Current project artefact.
reports\tables\stage3_quality_gate.csv,.csv,current,644,443aaab089a467183395d90f153c5431c5ad7523037ed1e495de8baa80e96d59,True,Current project artefact.
reports\tables\stage3_schema_validation_summary.csv,.csv,current,323,d24e4ed5d72870d7235543d02450a4dcd6b406e87e8f322503a17ad695d6f529,True,Current project artefact.
reports\tables\stage3_sweep_summary.csv,.csv,current,2358,a1ff2ee48a86924fffc675492cc6e6972559e5eeb6cfbe5d849421dfce68963e,True,Current project artefact.
reports\tables\sweep_cost_summary.csv,.csv,current,1458,029f5df07a87793604f34a6324195de933bea6ebcff14dcb2db281ad35de9249,True,Current project artefact.
reports\tables\tiny_lob_vertical_slice_summary.csv,.csv,current,140,e520b31e3d5ce7b030f0782a69117be0ee90455b5178f541f26aec4930782878,True,Current project artefact.
reports\tables\workspace_inventory.csv,.csv,current,25800,f8581a4c84e87d559eb35067f0e72ec43ad872e963fe824da37ce3af67d65197,True,Current project artefact.
run_project.py,.py,current,118,5441d4b72af262846b2d7c5b085107acc6feabe31c13fbc040f0e3f25a442e0d,True,Current project artefact.
src\microstructure_system\__init__.py,.py,current,80,9cb1c73a4602e5974775b0da30e2c2fecc0fd6ab61fbf9d1ede18162a02d01ef,True,Current project artefact.
src\microstructure_system\analytics\execution_summary.py,.py,current,217,7caa25adb7530a49d68a880cbfe0a57bf80b647d84699ef2423aaddc50197283,True,Current project artefact.
src\microstructure_system\analytics\intraday_profiles.py,.py,current,824,7a090a23914bdbea3f16d07ab9642647cd7ffcdb97b9de13f26521af7d83b59a,True,Current project artefact.
src\microstructure_system\analytics\liquidity_regimes.py,.py,current,283,ce273d1808b87b3248044dff318d657217fa8aa8a662e2bbbf3e0b383b8d19d0,True,Current project artefact.
src\microstructure_system\analytics\order_book_summary.py,.py,current,772,92c3d6a0c3bdac0e898028c984c18215d4ad5c146b1a9f425fe4fb4dc962699b,True,Current project artefact.
src\microstructure_system\cli.py,.py,current,1035,fd02e6331eeac5e8e7f1bf5258611c79cc3cd05c3a7d8cf40ac70dde8f8a94f5,True,Current project artefact.
src\microstructure_system\data\loaders.py,.py,current,449,27d718ecd2b35a458feb32704193dae7efb2f448f86311239f058a36c5e9ddc9,True,Current project artefact.
src\microstructure_system\data\source_audit.py,.py,current,9349,42af008077a9a4775103810408efe972bdd2e4c265eb13b00f30a530876671cc,True,Current project artefact.
src\microstructure_system\execution\cost_attribution.py,.py,current,1254,a931ac79180cb3ba6b882a828fc4cddaeff34a5496e0a8d99aac15768ad82945,True,Current project artefact.
src\microstructure_system\execution\fill_model.py,.py,current,1017,b9cf39db4e760253f84e9776f195d38e6895966aa686da89e25632075bb36903,True,Current project artefact.
src\microstructure_system\execution\implementation_shortfall.py,.py,current,1344,9d5d5d3744b6102dc7a67331ded7e57274c4313e3547531735e95a80af2e6bf3,True,Current project artefact.
src\microstructure_system\execution\market_sweep.py,.py,current,5249,8ebdfedf2b264089cf8ea5290d460163c2bb46046550e5e43e4a4257a4df752c,True,Current project artefact.
src\microstructure_system\execution\scenarios.py,.py,current,2610,c17718e4baccf67579c6638a2f0431fb5be3a40177640074e148906476e58333,True,Current project artefact.
src\microstructure_system\execution\schedule.py,.py,current,1241,cc03c2ee088fe86c415df5c3e2736096e7843a2414bda93b905b86004480917d,True,Current project artefact.
src\microstructure_system\features\book_features.py,.py,current,3120,6dd2fe75fe92c8137b8bede82329e9e24e6eda4e921fd37fe2a0fd695bc56269,True,Current project artefact.
src\microstructure_system\features\event_intensity.py,.py,current,645,b447895c50bc288f08e1882b13e148c54a20d001fc259288b33710659a121c41,True,Current project artefact.
src\microstructure_system\features\imbalance.py,.py,current,623,f296732b82ae3bd1ab4ad01f2b2e41f50c32a491cd63398150d4e86de09f345e,True,Current project artefact.
src\microstructure_system\features\labels.py,.py,current,1685,9aa26585313ab2eb1040a3e4fed03c18574a0708c9448c79f4a506f2984cf2c6,True,Current project artefact.
src\microstructure_system\features\liquidity.py,.py,current,266,5eddd8eb9c5feb42bbe444dacfcb4d62ef0081b8c2a2b0db978aeb2916cbd379,True,Current project artefact.
src\microstructure_system\features\microprice.py,.py,current,775,13f3fadd937cacff9379c43545600c0224db652a343300819c2c121dc8b4ed37,True,Current project artefact.
src\microstructure_system\impact\market_impact.py,.py,current,1105,e8e1a1891b5ee56dff5cb595f254e1487d436066383cccc14c19510e18d919d2,True,Current project artefact.
src\microstructure_system\impact\sensitivity.py,.py,current,1617,5296544fefb4af311fa5090a81c3b03d152208447fae1afa78e74063aa65052f,True,Current project artefact.
src\microstructure_system\models\baselines.py,.py,current,835,c6253c47c5f4daab30e26343dc328e48a94c76b425d79a5e808003c26cfcf6d7,True,Current project artefact.
src\microstructure_system\models\evaluation.py,.py,current,163,4f0c3f3f86c8663e21dd182c768b5bbdcf1030410f96b75e6b9c31adc9c13c8a,True,Current project artefact.
src\microstructure_system\order_book\book_state.py,.py,current,336,9f449bf56be0e441b7668b1ee8ba62190936d61a8202791aa0bb0fc884f2fce3,True,Current project artefact.
src\microstructure_system\order_book\integrity.py,.py,current,1203,60cf5a5afc11e40391b1b9d55cf399bc401cb1bf995ab7c1e26c6c0269cfd2f1,True,Current project artefact.
src\microstructure_system\pipeline.py,.py,current,14531,ea3bba91800529d543c3f12a673e7fd6e8f14ad56a3623ab08cfb5a1f97ee707,True,Current project artefact.
src\microstructure_system\quality\claim_enforcement.py,.py,current,2965,942f5a50b535d4d59ee22726781645962614eb0c560f4cc7d21ee10e36f1fd03,True,Current project artefact.
src\microstructure_system\quality\final_quality.py,.py,current,1620,1b932b6e2d312add3f43c1485c975fa1819d5d80df3673778ae488d47e526d97,True,Current project artefact.
src\microstructure_system\quality\stage1_quality.py,.py,current,1468,6509c4e86c5a0495fd74759ec3081e12b6b8655ffad44ee3374e9c32fe8574a9,True,Current project artefact.
src\microstructure_system\quality\stage2_quality.py,.py,current,428,ddab3153c55872ec3814e90e0650a6f239c370fc37153cf20de1941d9a9cdd32,True,Current project artefact.
src\microstructure_system\quality\stage3_quality.py,.py,current,422,14efa408e75407fe458622e8a759d336c03bfa2a46f37c8c74c2eea901194eb3,True,Current project artefact.
src\microstructure_system\release\manifest.py,.py,current,2840,b92fd7c3b356f84c797fdddd2c628832a276508ee813682b258da7b1e9dfdd98,True,Current project artefact.
src\microstructure_system\release\reproducibility.py,.py,current,1773,1440d9d7e50b7b1c77ee1ffea9e60c2e06d4f68fe62cceb283ebca50cd7726fa,True,Current project artefact.
src\microstructure_system\release\source_package.py,.py,current,1164,e256b5c0659ea830ef26b62d6d6f717632ed4d81a10e978e242ebd325ffc5de4,True,Current project artefact.
src\microstructure_system\reporting\claim_boundary_audit.py,.py,current,1505,06dda96598f7f9e11e12cfe50759bbe874b5074af18e652710fe838cce835ea4,True,Current project artefact.
src\microstructure_system\reporting\figure_registry.py,.py,current,1273,8a1054440c1701eed2d7c6b04c13cc48fb32725c36d0a5017f83e4eb8f0ad5cb,True,Current project artefact.
src\microstructure_system\reporting\publication_readiness.py,.py,current,2190,edd3d48eb60abca8ed43da4ebe1520eba940892a217863a04b870c16ca50b9fd,True,Current project artefact.
src\microstructure_system\reporting\report_builder.py,.py,current,25695,f1b3f1edcf705a7cb1ab66dca1ad7e3d5a266eb6b2fd6437df54466b4a9ffe88,True,Current project artefact.
src\microstructure_system\reporting\table_registry.py,.py,current,1854,8f5da982166e47d3bad30f6752d0fc8e71d9ebe342645a2745f361bffeb4dc5b,True,Current project artefact.
src\microstructure_system\schemas\canonical.py,.py,current,279,cc9db5540223f9f7dead83533d47e2c2808ec96a5a23bd4f9c0dafc9876cb934,True,Current project artefact.
src\microstructure_system\schemas\validation.py,.py,current,872,d97e8caddfa6dc81de570ae90b2e9952cfa5e24f12ae0a72792d7b86c8b93bd6,True,Current project artefact.
src\microstructure_system\simulation\lob_fixture.py,.py,current,5360,c131884d5668810901fb7c0038869893fd29123cf3d328466cd8cb72cd04ae73,True,Current project artefact.
src\microstructure_system\slippage\analysis.py,.py,current,1495,827dbb59cc4406a8c51da2b445e832a4807873d416dc44aab7ea091247dfc289,True,Current project artefact.
src\microstructure_system\slippage\benchmarks.py,.py,current,263,d4189d2f38a4dfbf3d250678332d7fc3bdec944e12f9530a0458b07c17c86e24,True,Current project artefact.
src\microstructure_system\utils\hashing.py,.py,current,433,97a9d15624c00522a4a8fd56ffe7c4108af5d7d41730b6003f4f2553182f8115,True,Current project artefact.
src\microstructure_system\utils\logging.py,.py,current,242,10d6d2e5ce78b0f32fb1ba648f094b4ebd8a2204b728b531088f43d11099a8ba,True,Current project artefact.
src\microstructure_system\utils\metadata.py,.py,current,874,3938e864385a0c577d721751856c94eed7d27ff69d6dcfe2d3653c28cf2b1e17,True,Current project artefact.
src\microstructure_system\visualisation\common.py,.py,current,497,ff7c09169602ab3bffda932144f1a2630138fca4f53199878af5aecf03452fa4,True,Current project artefact.
src\microstructure_system\visualisation\final_figures.py,.py,current,668,264a0586218ce94b8a1f78baa3511cd126aa0d6900ad0d4e5d7721b66e678c27,True,Current project artefact.
src\microstructure_system\visualisation\stage1_figures.py,.py,current,868,6355739fb1ffe0b3f0f62a7cef81da23c98657b4ed47e3bfe3e6042080a0e064,True,Current project artefact.
src\microstructure_system\visualisation\stage2_figures.py,.py,current,1261,447d4f9b25bd859fd6ddbf7caf8f5eb9785a32676832d183300345487ba856d9,True,Current project artefact.
src\microstructure_system\visualisation\stage3_figures.py,.py,current,1316,2b2060a0fd8b7f30db9a988853bee9bc6c6f7aa6d0376092b111671ad1921fce,True,Current project artefact.
tests\conftest.py,.py,current,1326,2a087cdee50e23993d3b81d6d8b2a1a46c1a3538fe9a35d6bee7e42143567572,True,Current project artefact.
tests\test_claim_enforcement_stage4c.py,.py,current,833,1a812c4f190beeaa198e509aa9b92c270be57874e3ea9075af5cadd2e53887b5,True,Current project artefact.
tests\test_execution_stage4c.py,.py,current,1476,180b7bb8cb77237dd2677ec808c561d17a9a19fc8e8634a39da61c546e375f11,True,Current project artefact.
tests\test_impact_release_stage4c.py,.py,current,1562,4c0040d065714fa9d21996f6e5954cc73f2e0d5a7d3fb698b04c872ada6b5293,True,Current project artefact.
tests\test_labels_intensity_models_stage4c.py,.py,current,1041,6ffe1c072cf2b527d12a3457c2f0586755a4cd9ab3cf629b66b9bcb18ed22e07,True,Current project artefact.
tests\test_order_book_features_stage4c.py,.py,current,1276,8d3602c8012d2138415f182c3af778701570122d494d7a4e5248b40a97e694a6,True,Current project artefact.
tests\test_project_audit.py,.py,current,2599,ad4d61c81e0129293b02f7e75c27da89c4daf52e38d659ab0a99f8e45f18be13,True,Current project artefact.
tests\test_reporting_stage4c.py,.py,current,1920,ca9bde5d55f7ab629c82b6ed9e6d5ece88d6986fc9b33d7fd0c891edd79f36a8,True,Current project artefact.
tests\test_repro_quality_scope_stage4c.py,.py,current,1119,f15f5d208a4a30f07cd9b891c775dd2efb8c9941caeb62568bc17d2de8a0375a,True,Current project artefact.
tests\test_schema_and_fixture_stage4c.py,.py,current,1130,66958584b765c50a614cfd8c43b6ed9507f8f404dbf5c265c6a17e598611a324,True,Current project artefact.
tests\test_slippage_schedule_fill_stage4c.py,.py,current,1200,0735402fb8b48be082681995216f01aff76ab3152c1c24035d72b9e3dec83d35,True,Current project artefact.
tests\test_source_audit_stage4c.py,.py,current,1179,a9fa11656b68f1ec0979631710a9f64947c54df15135d0260637a3d9d6317227,True,Current project artefact.
tests\test_stage4b_modules.py,.py,current,13979,096c27513fb57f5770565636915b5442934b32f5a0be8c61dd8bcffdc00e36de,True,Current project artefact.
uv.lock,.lock,current,64051,a7a2d15dc1f627b8c366cfca2750563e55350a9a7d504580838dfd9eb306ad53,True,Current project artefact.
